1,2022-06-26 23:02:59,57.9,0.0
2,2022-07-02 21:31:41,52.7,1.43445
3,2022-07-02 21:31:46,55.3,1.20022
4,2022-07-02 21:31:51,56.2,0.6586
5,2022-07-02 21:31:57,56.9,0.35623
6,2022-07-02 21:32:00,57.0,0.24037
7,2022-07-02 21:32:05,57.2,0.13083
8,2022-07-02 21:32:10,57.3,0.08337
8,2022-07-02 21:32:10,57.3,0.08337
9,2022-07-02 21:32:17,57.4,0.0
57,2022-07-02 21:39:15,56.4,0.0
58,2022-07-02 21:39:21,55.2,0.39995
59,2022-07-02 21:39:25,56.5,0.3918
60,2022-07-02 21:39:30,57.1,0.18356
61,2022-07-02 21:39:36,57.4,0.01306
61,2022-07-02 21:39:36,57.4,0.01306
62,2022-07-02 21:39:41,57.6,0.0
73,2022-07-02 21:40:40,57.9,0.0
74,2022-07-02 21:40:46,53.9,0.29302
75,2022-07-02 21:40:50,53.0,0.92092
76,2022-07-02 21:40:56,52.5,1.31583
77,2022-07-02 21:41:02,52.2,1.47136
78,2022-07-02 21:41:06,52.2,1.55399
79,2022-07-02 21:41:13,52.2,1.66894
80,2022-07-02 21:41:17,52.2,1.67875
81,2022-07-02 21:41:23,54.0,1.65027
82,2022-07-02 21:41:29,55.7,0.98125
83,2022-07-02 21:41:32,56.2,0.66318
84,2022-07-02 21:41:38,56.8,0.3258
85,2022-07-02 21:41:44,57.1,0.17229
86,2022-07-02 21:41:48,57.3,0.1144
87,2022-07-02 21:41:54,57.5,0.05686
88,2022-07-02 21:41:58,57.6,0.02263
88,2022-07-02 21:41:58,57.6,0.02263
89,2022-07-02 21:42:05,57.7,0.0
108,2022-07-02 21:43:47,55.4,0.0
109,2022-07-02 21:43:53,54.8,0.17393
110,2022-07-02 21:43:57,55.6,0.33725
111,2022-07-02 21:44:03,56.9,0.26764
112,2022-07-02 21:44:07,57.1,0.12963
112,2022-07-02 21:44:07,57.1,0.12963
113,2022-07-02 21:44:11,57.3,0.0
281,2022-07-03 00:09:35,57.6,0.0
282,2022-07-03 00:09:41,53.7,0.392
283,2022-07-03 00:09:48,52.5,1.54807
284,2022-07-03 00:09:51,52.3,1.78041
285,2022-07-03 00:09:57,51.9,2.04317
286,2022-07-03 00:10:04,51.6,2.20771
287,2022-07-03 00:10:08,51.6,2.26902
288,2022-07-03 00:10:14,51.3,2.31391
289,2022-07-03 00:10:20,51.3,2.37052
290,2022-07-03 00:10:24,51.2,2.39482
291,2022-07-03 00:10:30,51.2,2.43134
292,2022-07-03 00:10:36,51.3,2.46874
293,2022-07-03 00:10:40,52.7,2.43895
294,2022-07-03 00:10:46,55.0,1.76734
295,2022-07-03 00:10:50,55.8,1.20598
296,2022-07-03 00:10:56,56.7,0.67388
297,2022-07-03 00:11:02,57.2,0.36978
298,2022-07-03 00:11:06,57.4,0.25982
299,2022-07-03 00:11:11,57.6,0.1633
300,2022-07-03 00:11:16,57.7,0.09427
300,2022-07-03 00:11:16,57.7,0.09427
301,2022-07-03 00:11:24,57.9,0.0
364,2022-07-03 00:17:00,58.0,0.0
365,2022-07-03 00:17:06,53.3,0.6357
366,2022-07-03 00:17:12,55.8,0.90211
367,2022-07-03 00:17:16,56.6,0.49722
368,2022-07-03 00:17:22,52.8,1.00419
369,2022-07-03 00:17:28,52.0,1.6894
370,2022-07-03 00:17:32,51.8,1.86127
371,2022-07-03 00:17:38,51.6,1.95846
372,2022-07-03 00:17:44,51.4,2.12069
373,2022-07-03 00:17:48,51.4,2.18396
374,2022-07-03 00:17:54,51.5,2.23397
375,2022-07-03 00:18:00,51.4,2.21334
376,2022-07-03 00:18:04,51.2,2.25822
377,2022-07-03 00:18:10,51.1,2.32412
378,2022-07-03 00:18:14,51.3,2.34955
379,2022-07-03 00:18:20,51.6,2.3283
380,2022-07-03 00:18:26,51.2,2.33483
381,2022-07-03 00:18:30,51.2,2.37237
382,2022-07-03 00:18:36,51.5,2.38249
383,2022-07-03 00:18:42,51.6,2.3685
384,2022-07-03 00:18:47,51.4,2.3793
385,2022-07-03 00:18:53,51.3,2.3746
386,2022-07-03 00:18:59,54.7,1.9319
387,2022-07-03 00:19:03,55.5,1.35388
388,2022-07-03 00:19:09,56.4,0.74903
389,2022-07-03 00:19:14,56.9,0.45509
390,2022-07-03 00:19:18,57.2,0.32
391,2022-07-03 00:19:24,57.4,0.17417
392,2022-07-03 00:19:30,57.6,0.08655
392,2022-07-03 00:19:30,57.6,0.08655
393,2022-07-03 00:19:34,57.7,0.0
440,2022-07-03 00:23:45,58.6,0.0
441,2022-07-03 00:23:51,53.7,0.78597
